node_name,taxon_genus,taxon_species,dev_stage_code,sex_code,station_name,season,bodymass,bodymass_unit
Pseudocalanus,Pseudocalanus,Pseudocalanus elongatus,C4,I,BY31 LANDSORTSDJ,fall,2e-5,g
Pseudocalanus,Pseudocalanus,Pseudocalanus elongatus,C4,I,BY31 LANDSORTSDJ,spring,2e-5,g
Pseudocalanus,Pseudocalanus,Pseudocalanus elongatus,C4,I,BY31 LANDSORTSDJ,summer,2e-5,g
Pseudocalanus,Pseudocalanus,Pseudocalanus elongatus,C4,I,BY31 LANDSORTSDJ,winter,2e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,F,BY31 LANDSORTSDJ,fall,5.4999999999999995e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,F,BY31 LANDSORTSDJ,spring,4.5e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,F,BY31 LANDSORTSDJ,summer,5e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,F,BY31 LANDSORTSDJ,winter,5e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,M,BY31 LANDSORTSDJ,fall,5e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,M,BY31 LANDSORTSDJ,spring,2.9999999999999997e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,M,BY31 LANDSORTSDJ,summer,3.5e-5,g
Pseudocalanus,Pseudocalanus,NA,AD,M,BY31 LANDSORTSDJ,winter,3.5e-5,g
Pseudocalanus,Pseudocalanus,NA,C1,I,BY31 LANDSORTSDJ,fall,1e-5,g
Pseudocalanus,Pseudocalanus,NA,C1,I,BY31 LANDSORTSDJ,spring,8e-6,g
Pseudocalanus,Pseudocalanus,NA,C1,I,BY31 LANDSORTSDJ,summer,1e-5,g
Pseudocalanus,Pseudocalanus,NA,C1,I,BY31 LANDSORTSDJ,winter,7e-6,g
Pseudocalanus,Pseudocalanus,NA,C4,I,BY31 LANDSORTSDJ,fall,2e-5,g
Pseudocalanus,Pseudocalanus,NA,C4,I,BY31 LANDSORTSDJ,spring,2e-5,g
Pseudocalanus,Pseudocalanus,NA,C4,I,BY31 LANDSORTSDJ,summer,2e-5,g
Pseudocalanus,Pseudocalanus,NA,C4,I,BY31 LANDSORTSDJ,winter,2e-5,g
Synchaeta,Synchaeta,NA,NS,U,BY31 LANDSORTSDJ,fall,3e-6,g
Synchaeta,Synchaeta,NA,NS,U,BY31 LANDSORTSDJ,spring,3e-6,g
Synchaeta,Synchaeta,NA,NS,U,BY31 LANDSORTSDJ,summer,3e-6,g
Synchaeta,Synchaeta,NA,NS,U,BY31 LANDSORTSDJ,winter,3e-6,g
Synchaeta,Synchaeta,NA,NS,X,BY31 LANDSORTSDJ,fall,3e-6,g
Synchaeta,Synchaeta,NA,NS,X,BY31 LANDSORTSDJ,spring,3e-6,g
Synchaeta,Synchaeta,NA,NS,X,BY31 LANDSORTSDJ,summer,3e-6,g
Synchaeta,Synchaeta,NA,NS,X,BY31 LANDSORTSDJ,winter,3e-6,g
Temora,Temora,Temora longicornis,AD,F,BY31 LANDSORTSDJ,fall,5e-5,g
Temora,Temora,Temora longicornis,AD,F,BY31 LANDSORTSDJ,spring,6.5e-5,g
Temora,Temora,Temora longicornis,AD,F,BY31 LANDSORTSDJ,summer,5.9999999999999995e-5,g
Temora,Temora,Temora longicornis,AD,F,BY31 LANDSORTSDJ,winter,5.9999999999999995e-5,g
Temora,Temora,Temora longicornis,AD,M,BY31 LANDSORTSDJ,fall,5e-5,g
Temora,Temora,Temora longicornis,AD,M,BY31 LANDSORTSDJ,spring,4e-5,g
Temora,Temora,Temora longicornis,AD,M,BY31 LANDSORTSDJ,summer,4.5e-5,g
Temora,Temora,Temora longicornis,AD,M,BY31 LANDSORTSDJ,winter,5.4999999999999995e-5,g
Temora,Temora,Temora longicornis,C1,I,BY31 LANDSORTSDJ,fall,4e-6,g
Temora,Temora,Temora longicornis,C1,I,BY31 LANDSORTSDJ,spring,6e-6,g
Temora,Temora,Temora longicornis,C1,I,BY31 LANDSORTSDJ,summer,6e-6,g
Temora,Temora,Temora longicornis,C1,I,BY31 LANDSORTSDJ,winter,9e-6,g
Temora,Temora,Temora longicornis,C4,I,BY31 LANDSORTSDJ,fall,1.4e-5,g
Temora,Temora,Temora longicornis,C4,I,BY31 LANDSORTSDJ,spring,1.5e-5,g
Temora,Temora,Temora longicornis,C4,I,BY31 LANDSORTSDJ,summer,1.5e-5,g
Temora,Temora,Temora longicornis,C4,I,BY31 LANDSORTSDJ,winter,1.8e-5,g
