node_name,ICES_rect,abundance,biomass,bodymass,year
Gasterosteus,45G7,1.198613945865548,2.0643847300959655,1.72230995410722,2015
Gasterosteus,45G8,2.890162262245273,4.72323217511078,1.63424463629992,2015
Gasterosteus,46G8,1.1214130724208176,1.671806451557374,1.49080342709793,2015
Gasterosteus,42G6,0.013675390817030189,0.02638847764712393,1.92963243246123,2016
Gasterosteus,42G7,0.07331403615474907,0.13541254339974956,1.84702071393157,2016
Gasterosteus,43G7,2.226838215136238,3.9695365223582013,1.78258864760651,2016
Gasterosteus,44G7,3.4008373907331504,5.979236121176312,1.7581658380577,2016
Gasterosteus,44G8,1.839569474266142,3.4036174305978575,1.85022500004011,2016
Gasterosteus,45G7,4.987545712728837,7.194138395670206,1.44242054309595,2016
Gasterosteus,45G8,2.6034687718935356,4.707955821224785,1.80833965517498,2016
Gasterosteus,46G8,0.9126447510492102,1.2393994161845663,1.3580305094175,2016
Gasterosteus,42G6,0.43247780003020625,0.7778167293268263,1.7985125,2017
Gasterosteus,42G7,0.18525021902483169,0.3290749679273342,1.77638099247388,2017
Gasterosteus,43G7,1.1476790378393906,2.2571959751834667,1.96674845558985,2017
Gasterosteus,44G7,0.9685162669722418,1.6398484228209722,1.69315527135898,2017
Gasterosteus,44G8,0.08470344277952607,0.15940933820778466,1.88197,2017
Gasterosteus,45G7,0.3585741837158171,0.5989103221066374,1.67025499688872,2017
Gasterosteus,45G8,0.8366359566505149,1.5464666946678152,1.84843441448431,2017
Gasterosteus,46G8,0.7896434681477126,0.027961673876361528,0.0354105048724736,2017
Gasterosteus,42G6,4.888050303456706,8.031616554238507,1.6431125,2018
Gasterosteus,42G7,0.6748826623126,0.988666393383944,1.46494560994664,2018
Gasterosteus,43G7,1.052655357577668,1.9560505296759125,1.85820602687769,2018
Gasterosteus,44G7,0.2704763468952685,0.5301626411459093,1.96010722279976,2018
Gasterosteus,44G8,1.4128194956124445,2.746931863657278,1.94429074074074,2018
Gasterosteus,45G7,2.0253322818411728,3.727343129064073,1.84036128909951,2018
Gasterosteus,45G8,3.010091073818424,5.400747847157293,1.79421410007579,2018
Gasterosteus,46G8,4.44803030339366,7.54916319984068,1.69719239414376,2018
Gasterosteus,42G6,2.1807070450745556,3.7340103334535444,1.71229342423016,2019
Gasterosteus,42G7,3.0135158226466348,5.187418071951482,1.72138405014101,2019
